RESPONSE,LABEL
tantang akan hadap ungsi iklim adalah harus adaptasi lingkung baru mungkin jauh beda tempat tinggal belum harus mulai awal cari lahan kerja,1
tantang nya apabila pidah tempat baru mereka tidak biasa daerah mereka tempat,1
pertama cuaca perlu adaptasi lingkung,1
mungkin kurang kerja tempat tinggal layak mereka,1
bisa sesuai diri tempat baru,1
ajar,0
kenal orang oramg baru asing yag adaptasi awal,1
travina orang orang paksa tinggal komunitas negara bencana lingkung dia senang dapet tempat tinggal baru,0
akan hilang film dokumenter populer,0
biasa itu,0
tantang akan hadap ada rasa nyaman rasa faktor lingkung beda ada pernah mereka rasa,1
akan kurang bahan pangan pakai obat harus saling tempat rela sempit akan serba kurang,1
akan hilang hilang tempat tinggal,1
kondisi uang warga travina turun tidak tan lahan tani merkea hilang kerja bidang pariwisata kurang karena banyak warga travina ungsi tempat tuju wisatawan rusak,1
tantang ialah duduk hilang hasil tani mereka hasil lahan mereka tinggal,0
pekerjan jadi hilang lahan pertanianakan kurang,0
tidak semua tempat iklim sama semua warga travina harus sesuai diri hadap lingkung iklim mereka pindah tempat baru,1
trepisah komunitas nya cari tempat tinggal baru,1
pindah daerah aman,1
satu tantang hadap ungsi iklim pindah tempat baru sesuai adaptasi iklim tempat baru mereka tempat mungkin akan sangat beda yang di travina,1
hilang lahan yang mereka garap lama dan akan hilang harta benda,1
tempat mungkin kurang layak mereka jadi pngungsi iklim ehinggga mrnjadi ebuah tantangaan,1
milik tempat tinggal hilang lahan nya,1
susah adaptasi hadap lingkunggan juga hadap iklim baru,1
ber nsama orang ungsi selamat hindar bencana iklim sebut dan untuk waspada jadi bencana iklim sebut,1
harus meninggalakn biasa saat di travina harus adaptasi lingkung baru,1
sulit sesuai diri adan alam tempat sebut,1
akan sangat sepi yang belum terlalu adaptasi,1
tantang di hadap saat pindah tempat tinggi baru akan hilang lahan tani,1
hidup layank tidak dapat pekejaan tepat sesuai ahli milik,1
akan alami sulit dapat butuh hari hari,1
milik tempat tinggal,0
warga mungkin dibaksa jadi ungsi iklim,0
milik tempat tinggal baru suasana baru,0
adaptasi lingkung,1
orang orang tinggal komunitas negara bencana lingkung,0
akan suasana beda,0
akan suilt adaptasi rasa nyaman,1
harus adaptasi ada baru mungkin tidak sesuai keafaan travina,1
ungsi alami ubah iklim juga bisa adaptasi lingkung baru,1
paksa tinggal komunitas negara,1
jadi orr asing pindah tempat,1
lnfl wfil,0
tantang dari segi makan minum mereka harus sesuai diri lingkung baru,1
tentu tempat untuk beroindah lebih aman tempat sebelumya di tinggal bisa lebih resiko tempat,1
adaptasi iklim baru lingkung baru,1
tak biasa bisa adaptasi,1
adaptasi tempat baru,1
dapat ber adap tas sama ling kung sakitar wilaya baru pinda,1
kurang makan perlu akan hilang kerja harus adaptasi ulang tempat baru,1
meninggaalkan perttanian yang di garap lama,1
harus adaptasi denga lingkung baru nya,1
lama adaptasi,1
mungkin sulit adaptasi juga perlu kerja baru penuh butuh hari,1
beda iklim sesuai lingkung,1
hadap pindah di tempat baru sulit sesuai diri di tempat baru,1
gugup akan hal baru,0
tantang ungsi iklim orang orang paksa tinggal komunitas negara karna bencana lingkung,1
kenal lingkung baru,1
tantang akan lebih sulit untuk adaptasi tempat iklim beda,1
negara akan dukung sama proyek,0
terpksa tinggal komunitas negara bencana lingkung,1
tantang biasa lingkung baru,1
ekonomi turun mereka bangun hidup baru lanjut hidup,1
akan hilang lahan tani,1
dapat suasana baru,0
pindah tempat baru adaptasi awal mereka pindah negara mereka ajar budaya bahasa beda dari yang mereka milik juga mungkin mereka akan dibully duduk asli tempat sebut akan jadi diskriminasi saat dulu diskriminasi hadap orang hitam orang putih,1
hadap lingkung budaya beda harus adaptasi cepat baik tentu tempat baru sebut ramah hadap ungsi iklim,1
adaptasi linkungan,1
akan tinggal lahan tani ikan lama kembang,1
kurang makananan hilang kerja biasa lingkung baru,1
banyak tantang yg lalu warga travina bukan satu contoh akan hilang rumah tani mulai hidup baru negara ungsi akan adaptasi mau-tidak mau ikut budaya ada di lingkung baru mereka,1
akan hilang segala,0
tempat tinggal belum layak nyaman,1
akan adaptasi lingkung baru yang mungkin situasi kondisi sama,1
tantanganakandihadapiparapengunsi,0
anggap bagai imigran akan tambah jumlah padat duduk suatu daerah,1
salah satu tantang akan hadap ketika harus mulai biasa hidup di tempat baru selaim harus adaptasi lingkung baru yang tentu lingkung baru beda tempat tinggal mereka yang dulu,1
jadi akan sulit sosial,1
ada sakit tidak oleh warga,0
salahsatunya sulit air mencri mkan akn makan seahri hari sulit mencri temsn obrol berbicra sulit paham lingkung yg mereka tingal sekarang,1
sering jadi masalah,0
tantang akan hadap ungsi iklim susah cari makan aktifvitas laku hari hari hambat atas butuh yang mereka luk sesah interaksi orang orang baru,1
tantang hadap ungsi iklim ketika pindah tempat baru tidak jamin makan butuh butuh saat tempat ungsi,1
akan rasa yang sangat beda sekali,1
lebih kucil karna bagai warga baru belum tahu tata tertib,1
mungkin belum kenal tempat baru dan haru adaptasi,1
perlu sesuai diri,1
cari tempat baru perlu adaptasi lingkung perlu teman baru tetangga baru,1
satu tantang mungkin hadap ungsi iklim pindah tempat baru susah adaptasi tempat baru pasti beda jauh tempat tinggal dulu juga kerja pasti susah laku kerja tempat baru tidah pernah laku tempat tinggal lama mereka,1
duduk hilang lahan tani kebun mereka punya,1
ubah lingkung,1
perlu adaptasi iklim baru tempat baru,1
ungsi iklim hadap masalah rasa nyaman tempat baru tidak ada seperti tempat tinggal nya sendiri,0
perlu adaptasi lingkung baru mereka tempat,1
hilang lahan tani brubah nya ekonomi,1
pungunsi iklim,0
hilang lingkung akibat bencana,0
kurang sumber daya,0
akan hilang tempat tinggal kerja sehinnga tempat baru harus adaptasi lingkung baru,1
kehilagan lahan tani sesuai tubuh,0
akan sulit sesuai diri lingkung baru,1
sulit tempat yg cocok tinggal,1
adaptasi lingkung baru,1
harus cari kerja baru harus biasa diri di lingkung baru,1
sulit sosial ada iklim ada tempat baru,1
hilang mata cahari mereka hilang banyak barang mereka bakal sibuk terus pindah pindah iring jalan ubah iklim,1
akan hilang lahan tani,1
pasi ungsi bahagia dapat tempat ungsi,0
dari akan hilang kerja akan sulit adaptasi,1
turut salah satu tantang hadap para ungsi iklimk 1 makan waktu laku pindah satu tempat tempat 2 hilang mata cahari 3 dana negara mulai tip 4 sumber daya alam tempat dulu bisa manfaat,1
biasa iklim baru,1
duduk menigalkan kebun ke daerah lebih tinggi meng ngusi,0
perlu adaptasi,1
tantang hadap warga paksa jadi ungsi iklim,0
bisa alami sulit sesuai diri lingkung baru di tiap daerah negara punya beda baik bahasa budaya gaul jadi pasti ungsi iklim akan mengakami sebut,1
adaptasi lingkung baru akan hilang lahan tani,1
akan cik bila pindah tempat baru akn sulit tolong medis didik mereka tinggal daerah mereka,1
tantang besar ungsi iklim adaptasi tempat baru,1
sulit adap tas lingkung baru,1
sulit cari makan sektor usaha seperti tani akan hilang,1
proses adaptasi dengan lingkung baru susah,1
susah adaptasi dgn iklim di tempat ungsi dia biasa dgn iklim itu,1
ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
interaksi lingkung hilang lahan tani rumah,1
sangat beda,0
harus mulai ulang hidup nyha mulai kerja kalu sejarah rumah sudah tempat keluarga cara turun turun,1
tempat tinggal batas makan minum tidak cukup konflik batin akan alami ungsi iklim,1
akan rasa beda dia tinggal tempat lebih dingin kini tinggal tempat lebih panas,1
kurang lahan bisa kembang untuk lahan tani biasa mereka pindah tempat baru tempat sebut hun masih urus,1
harus adaptasi lingkung baru cari teman kerabat baru serba baru lah pokok,1
buat baik hadap manyarakat baru,0
naik muka air laut,0
timbang proyek,0
lahan tani akan rusak rumah akan rusak,1
adaptasi lingkung baru mereka akan kenal budaya,1
warga hadap hidup beda yang baik tempat tinggal budaya kesehariaannya,1
hilang mata cahari harus adaptasi pada lingkung,1
akan hindar bencana landa tempat dengan pindah tempat lain,0
ungsi dapat tantang sakit karna biasa negara akan ungsi karna tiap negara milik iklim beda jenis asupan makan beda,1
neka nyaman tempat baru sudah biasa tempat lama,1
negara munggin jari donasi hidup baru,0
biasa diri hadap lingkung baru agar imbang lingkung ungsi tetapi juga harus bisa memberika waktu lihat negara untuk bahwa negara mereka dalam kondisi baik,1
antanagn hadap mungkin lumayan banyak salah satu merka membiasakann diri hadap lingkung pergi negara sendiri ungsi negeri orang belum kehidupanya depan sumber hidup merka tinggal mungkin merka akan anggur,1
karna kluarga travina ungsi datar rendah pun ungsi jadi bajir,0
hilang besar lahan tani travina akan cari donasi cepat beri ywarga ygang hilang besar lahan tania,1
ekonomi,1
mereka rasa resa gelisa,1
cari tempat tinggal baru,1
akan bencana,0
tantang akan hadap ungsi iklim mereka pindah tempat baru tidak biasa ada tempat baru,1
biar tenang aman,0
meski pindah tempat baru hilang besar lahan tani mereka,1
karna bahaya nyawa,0
nanti jadi ubah iklim gmna,0
kedaan adalah dan hidup orang travina sedang taruh,0
cara sesuai diri lingkung baru,1
bagainmana ungsi pindah travina akan terjad yang tinggal sekarang,0
warga mungkin paksa jadi ungsi iklim,0
tantang paling utama adaptasi,1
tidak adaptasi hadap lingkung baru mereka sulit bagai aspek,1
adaptasi hadap lingkung baru,1
paksa,0
dapat negara bagus aman,0
apa satu,0
adaptasi,1
mungkin susah adaptasi lingkung baru raka mungkin memikirikan harta benda mereka milik lingkungn lama,1
ungsi ikllim orang paksa meningalkan komunitas negara bencana lingkung,0
minta tanggung jawab,0
tempat tinggal orang orang tidak kenal,1
temu orang baru dapat alam bebeda belum,1
susah adaptasi,1
ungsi iklim pindah tempat baru mungkin dapat negara,1
mulai hidup baru pun akan meningalkan tanah lahir,1
nyaman pikir tempat dulu tempat sukar adaptasi,1
sesuai linkungan baru,1
suka negara atau cuma jadi beban negara ungsi,0
akann susah cari kerja pindah daerah yang bukan milik mereka,1
akan hilang lahan tani akan adaptasi demgam lingkung barunyabisa jadi ungsi di terima beberapa prnduduk,1
harus ajar adaptasi lingkung baru,1
salah satu tantang akan hadap ungsi iklim sulit baur cari kerja baru laku langsung hidup tempat baru,1
hadap lingkung mungkin akan perlu waktu yang lama adaptasi,1
akan baur orang baru usaha terima budaya baru cari mampu kerja beda,1
cari tempat tinggal,1
