RESPONSE,LABEL
mereka akan kurang bahan pangan pakai dan obat mereka harus saling bagi tempat dan rela sempit mereka akan serba kurang,1
mereka akan hilang hilang tempat tinggal,1
tentu kondisi uang warga travina akan turun mereka tidak bisa tan lagi karena lahan tani merkea yang hilang para kerja di bidang pariwisata akan kurang karena banyak warga travina yang ungsi dan tempat tuju wisatawan yang rusak,1
tantang ialah duduk akan hilang hasil dari tani yang mereka hasil dari lahan yang mereka tinggal,0
pekerjan akan jadi hilang dan lahan pertanianakan kurang,0
karena tidak semua tempat iklim sama semua warga travina juga harus sesuai diri hadap lingkung dan iklim saat mereka pindah ke tempat yang baru,1
trepisah oleh komunitas nya dan cari tempat tinggal baru,1
untuk pindah ke daerah yang aman,1
satu tantang yang akan hadap para ungsi iklim saat pindah ke tempat baru yaitu sesuai adaptasi dengan iklim tempat baru yang mereka tempat mungkin akan sangat beda dengan yang ada di travina,1
mereka akan hilang lahan mereka yang telah mereka garap lama ini dan akan hilang harta benda,1
tempat mungkin kurang layak bagi mereka yang jadi pngungsi iklim ehinggga bisa mrnjadi ebuah tantangaan,1
tidak milik tempat tinggal hilang lahan nya,1
akan susah untuk adaptasi hadap lingkunggan dan juga hadap iklim yang baru,1
akan ber nsama dengan orang lain dan ungsi demi selamat agar hindar dari bencana iklim sebut dan untuk waspada belum jadi bencana iklim sebut,1
mereka harus meninggalakn biasa mereka saat masih di travina dan harus adaptasi dengan lingkung baru mereka,1
sulit sesuai diri dengan adan alam di tempat sebut,1
pasti akan sangat sepi dan yang pasti belum terlalu adaptasi,1
tantang yang di hadap adalah saat mereka pindah ke tempat yang tinggi atau baru ia akan hilang lahan tani,1
tidak dapat hidup yang layank karena tidak dapat pekejaan yang tepat sesuai dengan ahli yang milik,1
mereka akan alami sulit untuk dapat butuh hari hari,1
tidak milik tempat tinggal,0
warga mungkin dibaksa jadi ungsi iklim,0
akan milik tempat tinggal yang baru dan suasana yang baru,0
adaptasi dengan lingkung sekitar,1
orang orang akan tinggal komunitas atau negara karena bencana lingkung,0
mereka akan dapat suasana yang beda,0
mereka akan suilt adaptasi dan rasa tidak nyaman,1
mereka harus kembali adaptasi dengan ada yang baru yang mungkin bisa tidak sesuai dengan keafaan di travina,1
ungsi akan alami ubah iklim dan juga harus bisa adaptasi pada lingkung baru,1
paksa tinggal komunitas atau negara,1
akan jadi orr asing ketika pindah tempat,1
lnfl wfil,0
tantang yaitu dari segi makan dan minum dan mereka juga harus bisa sesuai diri dengan lingkung yang baru,1
belum tentu tempat yang di guna untuk beroindah lebih aman dari tempat yang sebelumya di tinggal mereka bisa saja lebih resiko dari tempat belum,1
adaptasi dengan iklim baru dan lingkung baru,1
tak biasa belum bisa adaptasi,1
akan adaptasi di tempat yang baru,1
harus dapat ber adap tas sama ling kung sakitar wilaya baru mereka pinda,1
akan kurang makan dan perlu lain akan hilang kerja dan harus adaptasi ulang di tempat yang baru,1
meninggaalkan perttanian mereka yang sudah di garap lama ini,1
mereka harus bisa adaptasi denga lingkung baru nya,1
akan lama untuk adaptasi,1
mereka mungkin akan sulit untuk adaptasi mereka juga akan perlu kerja baru untuk penuh butuh mereka hari,1
beda iklim dan sesuai lingkung,1
yang di hadap ketika di pindah di tempat baru adalah sulit sesuai diri di tempat yang baru,1
mereka akan gugup akan hal yang baru,0
tantang ungsi iklim adalah orang orang paksa tinggal komunitas atau negara karna bencana lingkung,1
kenal lingkung baru,1
tantang mereka akan lebih sulit lagi untuk adaptasi di tempat yang iklim beda,1
negara lain akan ingin dukung yang sama untuk proyek mereka,0
terpksa tinggal komunitas atau negara karena bencana lingkung,1
tantang adalah biasa dengan lingkung baru,1
ekonomi yang turun dan mereka harus bangun hidup yang baru untuk lanjut hidup,1
mereka akan hilang lahan tani mereka,1
akan dapat suasana baru,0
jika mereka pindah ke tempat baru maka mereka harus adaptasi lagi dari awal jika mereka pindah ke negara lain mereka harus ajar budaya dan bahasa yang beda dari yang mereka milik dan juga ada mungkin mereka akan dibully oleh duduk asli tempat sebut dan akan jadi lagi diskriminasi seperti saat dulu diskriminasi hadap orang hitam dan orang putih,1
hadap dengan lingkung dan budaya yang beda sehingga harus dapat adaptasi dengan cepat dan baik belum tentu tempat baru sebut akan ramah hadap ungsi iklim,1
adaptasi dengan linkungan,1
mereka akan tinggal lahan tani dan ikan yang lama mereka kembang,1
kurang makananan hilang kerja belum biasa pada lingkung baru,1
banyak tantang yg akan di lalu warga travina bukan hanya satu contoh mereka akan hilang rumah tani dan mulai hidup baru di negara ungsi mereka mereka juga akan adaptasi mau-tidak mau harus ikut budaya dan ada di lingkung baru mereka,1
mereka akan hilang segala,0
dapat tempat tinggal yang belum tentu layak dan nyaman,1
mereka akan harus adaptasi dengan lingkung baru mereka yang mungkin situasi dan kondisi tidak sama,1
tantanganakandihadapiparapengunsi,0
dapat anggap bagai imigran yang akan tambah jumlah padat duduk di suatu daerah,1
salah satu tantang yang akan hadap adalah ketika mereka harus mulai biasa dengan hidup mereka di tempat yang baru selaim itu mereka juga harus adaptasi dengan lingkung mereka yang baru yang tentu lingkung baru itu beda dengan tempat tinggal mereka yang dulu,1
bisa jadi mereka akan sulit sosial,1
pasti ada sakit yang tidak ingin oleh warga,0
salahsatunya mereka sulit dapat air mencri mkan yang akn mereka makan seahri hari sulit untuk mencri temsn obrol atau berbicra dan mereka sulit paham lingkung yg mereka tingal sekarang,1
sering jadi masalah,0
tantang yang akan hadap para ungsi iklim yaitu susah cari makan atau aktifvitas seperti yang mereka laku hari hari dan hambat atas butuh yang mereka luk sesah untuk interaksi dengan orang orang baru,1
tantang yang hadap para ungsi iklim ini ketika mereka pindah ke tempat baru yaitu tidak jamin makan dan butuh butuh mereka saat di tempat ungsi,1
mereka akan rasa hal yang sangat beda sekali,1
lebih kucil karna bagai warga baru yang belum tentu tahu tata tertib,1
mungkin mereka belum kenal tempat baru mereka dan haru adaptasi kembali,1
perlu sesuai diri kembali,1
cari tempat yang baru perlu adaptasi dengan lingkung sekitar perlu teman baru atau tetangga baru,1
satu tantang yang mungkin hadap para ungsi iklim ketika mereka pindah tempat baru adalah susah adaptasi dengan tempat yang baru yang pasti beda jauh dengan tempat tinggal mereka dulu begitu juga dengan kerja mereka pasti susah laku jika kerja di tempat baru mereka tidah pernah mereka laku di tempat tinggal lama mereka,1
duduk akan hilang lahan tani dan kebun yang mereka punya,1
ubah lingkung,1
perlu adaptasi dengan iklim baru di tempat yang baru,1
ungsi iklim akan hadap masalah yaitu rasa tidak nyaman karena ada di tempat yang baru dan tidak ada seperti di tempat tinggal nya sendiri,0
mereka perlu adaptasi dengan lingkung baru yang mereka tempat,1
hilang lahan tani atau brubah nya ekonomi,1
pungunsi iklim,0
hilang lingkung kita akibat bencana,0
kurang sumber daya,0
mereka akan hilang tempat tinggal kerja sehinnga tempat baru mereka harus adaptasi dengan lingkung baru mereka,1
kehilagan lahan tani sesuai tubuh,0
mereka akan sulit untuk sesuai diri di lingkung baru,1
sulit dapat tempat yg cocok untuk tinggal,1
adaptasi dengan lingkung baru,1
mereka harus cari kerja baru dan harus biasa diri kembali di lingkung yang baru,1
sulit sosial dengan ada iklim yang ada di tempat yang baru,1
mereka hilang mata cahari dan mereka juga hilang banyak barang serta mereka juga bakal sibuk untuk terus pindah pindah iring jalan ubah iklim,1
mereka akan hilang lahan tani mereka,1
pasi ungsi bahagia karena dapat tempat untuk ungsi,0
bagi dari mereka akan hilang kerja dan akan sulit untuk adaptasi,1
turut saya salah satu tantang yang hadap oleh para ungsi iklimk adalah 1 makan waktu untuk laku pindah dari satu tempat ke tempat lain 2 hilang mata cahari 3 dana negara mulai tip 4 sumber daya alam di tempat yang dulu tidak bisa manfaat,1
biasa dengan iklim yang baru,1
duduk menigalkan kebun mereka ke daerah yang lebih tinggi untuk meng ngusi,0
perlu adaptasi,1
tantang yang hadap adalah warga paksa untuk jadi ungsi iklim,0
mereka bisa saja alami sulit dalam sesuai diri dengan lingkung yang baru karena di tiap daerah atau negara pasti punya beda baik dalam bahasa budaya dan gaul jadi sudah pasti bahwa ungsi iklim juga akan mengakami hal sebut,1
harus adaptasi dengan lingkung baru juga akan hilang lahan tani mereka,1
mereka akan cik bila mereka pindah tempat yang baru dan mereka akn sulit dapat tolong medis dan didik karena mereka tidak tinggal di daerah mereka,1
tantang besar para ungsi iklim adalah adaptasi dengan tempat baru nanti,1
akan sulit adap tas dengan lingkung baru,1
mereka akan sulit cari makan dan sektor usaha mereka seperti tani akan hilang,1
proses adaptasi mereka dengan lingkung baru akan susah,1
dia susah adaptasi dgn iklim yang di tempat ungsi karena dia tidak biasa dgn iklim seperti itu,1
ungsi iklim adalah orang yang paksa tinggal komunitas atau negara karena bencana lingkung,0
interaksi dengan lingkung dan hilang lahan tani dan rumah,1
ada sangat beda,0
mereka harus mulai ulang hidup nyha mulai dari kerja atau kalu ada sejarah tentang rumah itu sudah tempat keluarga itu cara turun turun,1
tempat tinggal yang batas makan dan minum yang tidak cukup dan konflik batin yang akan alami para ungsi iklim,1
dia akan rasa beda ketika dia tinggal tempat yang lebih dingin namun kini tinggal tempat yang lebih panas,1
kurang lahan yang bisa mereka kembang seperti untuk lahan tani karena biasa ketika mereka pindah ke tempat baru tempat sebut sudah hun atau masih belum urus,1
mereka harus adaptasi pada lingkung baru lagi cari teman kerabat yang baru lagi serba baru lah pokok,1
buat baik hadap manyarakat baru,0
naik muka air laut,0
timbang proyek,0
lahan tani mereka akan rusak dan rumah mereka akan rusak,1
mereka akan adaptasi dengan lingkung baru juga mereka akan kenal budaya lain,1
warga akan hadap hidup yang beda dari yang belum baik itu tempat tinggal budaya atau kesehariaannya,1
hilang mata cahari dan harus adaptasi kembali pada lingkung sekitar,1
mereka akan hindar dari bencana yang landa tempat mereka dengan pindah ke tempat yang lain,0
para ungsi akan dapat tantang seperti sakit karna belum biasa dengan negara yang akan dia ungsi karna tiap negara milik iklim yang beda dan jenis asupan makan yang beda,1
neka tidak nyaman dengan tempat baru karena sudah biasa dengan tempat lama mereka,1
negara munggin jari donasi hidup baru,0
mereka harus biasa diri mereka hadap lingkung baru mereka agar bisa imbang dengan lingkung yang mereka ungsi itu tetapi mereka juga harus bisa memberika waktu untuk lihat negara mereka untuk pasti bahwa negara mereka dalam kondisi baik,1
antanagn yang akan mereka hadap mungkin lumayan banyak salah satu adalah merka harus membiasakann diri hadap lingkung pergi dari negara sendiri dan ungsi di negeri orang yang belum tentu kehidupanya depan sumber hidup merka juga tinggal mungkin merka akan anggur,1
karna kluarga travina ungsi ke datar rendah walau pun ungsi akan jadi bajir,0
mereka akan hilang bagi besar lahan tani mereka travina akan cari donasi cepat untuk beri ywarga ygang sudah hilang bagi besar lahan tania,1
ekonomi,1
pasti mereka rasa resa dan gelisa,1
cari tempat tinggal baru,1
mereka akan dapat bencana,0
tantang yang akan hadap para ungsi iklim ketika mereka pindah ke tempat baru adalah tidak biasa dengan ada tempat baru itu,1
biar tenang dan aman,0
meski mereka pindah ke tempat yang baru tetapi mereka akan hilang bagi besar lahan tani mereka,1
karna bahaya nyawa,0
jika nanti jadi ubah iklim gmna,0
kedaan ini adalah kecuali dan hidup orang travina sedang di taruh,0
cara sesuai diri di lingkung baru,1
bagainmana jika ungsi pindah dari travina dan akan terjad lagi yang ia tinggal sekarang,0
warga mungkin paksa untuk jadi ungsi iklim,0
tantang yang paling utama adalah adaptasi,1
mereka tidak dapat adaptasi hadap lingkung baru sehingga mereka akan sulit di bagai aspek,1
adaptasi hadap lingkung yang baru,1
paksa,0
akan dapat negara yang bagus dan aman,0
apa satu,0
adaptasi,1
mereka mungkin akan susah untuk adaptasi dengan lingkung baru dan raka juga mungkin akan memikirikan tentang harta benda yang mereka milik di lingkungn lama,1
ungsi ikllim adalah orang yang paksa meningalkan komunitas atau negara karena bencana lingkung,0
minta tanggung jawab,0
tempat tinggal dengan orang orang yang tidak mereka kenal,1
akan temu dengan orang baru dan dapat alam yang bebeda dari belum,1
susah adaptasi,1
ungsi iklim akan pindah tempat baru mungkin akan dapat tolong negara lain,1
mereka akan mulai hidup baru mereka pun akan meningalkan tanah lahir mereka,1
tidak nyaman pikir tempat yang dulu ia tempat sukar adaptasi,1
harus sesuai dengan linkungan baru,1
tidak suka oleh negara lain atau cuma jadi beban kepada negara yang ungsi,0
mereka akann susah cari kerja karena mereka telah pindah ke daerah lain yang bukan milik mereka,1
ia akan hilang lahan tani dan akan adaptasi demgam lingkung barunyabisa jadi juga ungsi tidak di terima oleh beberapa prnduduk,1
mereka harus ajar adaptasi pada lingkung yang baru,1
salah satu tantang yang akan hadap para ungsi iklim adalah sulit untuk baur dan cari kerja baru demi laku langsung hidup di tempat baru,1
mereka akan hadap lingkung lain yang mungkin akan perlu waktu yang lama untuk adaptasi,1
mereka akan baur dengan orang baru usaha untuk terima budaya baru cari mampu untuk kerja yang beda,1
cari tempat tinggal,1
